No,Tanggal,Lokasi,Aktual Harga,Aktual Produksi,Aktual Luas Tanam,Aktual Curah Hujan,Aktual Bencana,Aktual Luas Terkena Hama,Stabilitas Harga,Musim,Banjir,Prosentase Hama,Hama,Pergerakan Harga,,,,
1,2008-01-01,1,5006,288577,194599,240.90,1.00,0.00,Stabil,Penghujan,Banjir,0,Tidak Ada Hama,Turun,,,,
11,2008-01-01,11,5112,7722,12653,463.00,0.00,0.00,Stabil,Kemarau,Banjir,0,Tidak Ada Hama,Naik,,,,
12,2008-02-01,1,5032,709949,76497,116.50,1.00,0.00,Stabil,Penghujan,Banjir,0,Tidak Ada Hama,Turun,,,,
23,2008-03-01,1,4878,1622137,121151,242.40,1.00,0.00,Stabil,Penghujan,Banjir,0,Tidak Ada Hama,Turun,,,,
34,2008-04-01,1,4745,1957305,260823,297.10,1.00,0.00,Stabil,Penghujan,Tidak Ada Banjir,0,Tidak Ada Hama,Turun,,,,
45,2008-05-01,1,4823,1094081,222666,165.40,0.00,0.00,Stabil,Kemarau,Tidak Ada Banjir,0,Tidak Ada Hama,Naik,,,,
56,2008-06-01,1,5042,430084,125537,65.30,0.00,0.00,Stabil,Kemarau,Tidak Ada Banjir,0,Tidak Ada Hama,Naik,,,,
67,2008-07-01,1,5076,681139,61885,3.60,0.00,0.00,Stabil,Kemarau,Tidak Ada Banjir,0,Tidak Ada Hama,Naik,,,,
78,2008-08-01,1,5083,1466408,78181,58.60,0.00,0.00,Stabil,Kemarau,Banjir,0,Tidak Ada Hama,Naik,,,,
89,2008-09-01,1,5096,848852,50220,41.50,1.00,0.00,Stabil,Kemarau,Banjir,0,Tidak Ada Hama,Naik,,,,
100,2008-10-01,1,5085,478575,123550,137.00,1.00,0.00,Stabil,Penghujan,Tidak Ada Banjir,0,Tidak Ada Hama,Turun,,,,
111,2008-11-01,1,5083,235919,282295,277.30,0.00,0.00,Stabil,Penghujan,Banjir,0,Tidak Ada Hama,Turun,,,,
122,2008-12-01,1,5133,298043,340623,332.80,1.00,0.00,Stabil,Penghujan,Banjir,0,Tidak Ada Hama,Naik,,,, 
133,2009-01-01,1,5137,302126,148100,208.50,1.00,0.00,Stabil,Penghujan,Banjir,0,Tidak Ada Hama,Naik,,,,
144,2009-02-01,1,5278,743284,91611,200.50,1.00,0.00,Stabil,Penghujan,Banjir,0,Tidak Ada Hama,Naik,,,,
155,2009-03-01,1,5171,1698302,166660,365.70,1.00,0.00,Stabil,Penghujan,Banjir,0,Tidak Ada Hama,Turun,,,,
166,2009-04-01,1,5135,2049207,259635,165.60,1.00,0.00,Stabil,Penghujan,Banjir,0,Tidak Ada Hama,Turun,,,,
177,2009-05-01,1,5117,974963,185047,183.80,1.00,0.00,Stabil,Kemarau,Banjir,0,Tidak Ada Hama,Turun,,,,
188,2009-06-01,1,5122,603088,117545,101.00,1.00,0.00,Stabil,Kemarau,Tidak Ada Banjir,0,Tidak Ada Hama,Naik,,,,
199,2009-07-01,1,5128,1097146,96525,24.20,0.00,0.00,Stabil,Kemarau,Tidak Ada Banjir,0,Tidak Ada Hama,Naik,,,,
210,2009-08-01,1,5167,1709214,89635,0.50,0.00,0.00,Stabil,Kemarau,Tidak Ada Banjir,0,Tidak Ada Hama,Naik,,,,
221,2009-09-01,1,5184,825884,42683,24.00,0.00,0.00,Stabil,Penghujan,Tidak Ada Banjir,0,Tidak Ada Hama,Naik,,,,
232,2009-10-01,1,5162,524615,92042,234.50,0.00,0.00,Stabil,Penghujan,Tidak Ada Banjir,0,Tidak Ada Hama,Turun,,,,
243,2009-11-01,1,5173,430801,257353,318.20,0.00,0.00,Stabil,Penghujan,Tidak Ada Banjir,0,Tidak Ada Hama,Naik,,,,
254,2009-12-01,1,5244,400050,329541,271.10,0.00,0.00,STABIL,Penghujan,Ada Bencana,20.79985006,Ada Hama,Naik,,,,
265,2010-01-01,1,5643,288448,206084,353.30,1.00,8878.00,STABIL,Penghujan,Ada Bencana,18.01568849,Ada Hama,Naik,,,,
276,2010-02-01,1,5939,622012,113830,557.10,1.00,16582.00,STABIL,Penghujan,Ada Bencana,8.733918004,Tidak Ada Hama,Naik,,,,
287,2010-03-01,1,5650,1739169,141104,531.00,1.00,22477.00,STABIL,Kemarau,Ada Bencana,4.519012809,Tidak Ada Hama,Turun,,,,
298,2010-04-01,1,5610,2227009,229219,93.00,1.00,14892.00,STABIL,Penghujan,Ada Bencana,5.233302925,Tidak Ada Hama,Turun,,,,
309,2010-05-01,1,5526,1230674,235581,345.00,1.00,10785.00,STABIL,Kemarau,Ada Bencana,16.42449266,Ada Hama,Turun,,,,
320,2010-06-01,1,5710,679760,134658,131.90,1.00,18696.00,STABIL,Penghujan,Tidak Ada Bencana,25.56128813,Ada Hama,Naik,,,,
331,2010-07-01,1,5934,842632,136069,220.80,0.00,36068.00,STABIL,Kemarau,Ada Bencana,11.51606106,Ada Hama,Naik,,,,
342,2010-08-01,1,6229,1368830,94785,106.10,1.00,26397.00,STABIL,Penghujan,Ada Bencana,4.792406858,Tidak Ada Hama,Naik,,,,
353,2010-09-01,1,6281,1073290,105647,424.40,1.00,11290.00,STABIL,Penghujan,Ada Bencana,6.666518142,Tidak Ada Hama,Naik,,,,
364,2010-10-01,1,6343,613492,178140,292.20,1.00,8977.00,STABIL,Penghujan,Ada Bencana,6.09323211,Tidak Ada Hama,Naik,,,,
375,2010-11-01,1,6450,619920,258919,401.40,1.00,8291.00,STABIL,Penghujan,Ada Bencana,13.42195495,Ada Hama,Naik,,,,
386,2010-12-01,1,6647,431834,279910,237.50,1.00,12722.00,STABIL,Kemarau,Ada Bencana,17.70424148,Ada Hama,Naik,,,,
397,2011-01-01,1,6806,656600,176936,63.00,1.00,18704.00,STABIL,Kemarau,Tidak Ada Bencana,11.78006063,Ada Hama,Naik,,,,
408,2011-02-01,1,6640,1107147,130045,76.70,0.00,20985.00,STABIL,Kemarau,Ada Bencana,5.781730966,Tidak Ada Hama,Turun,,,,
419,2011-03-01,1,6366,1609191,134839,89.40,1.00,14970.00,STABIL,Penghujan,Ada Bencana,4.398913937,Tidak Ada Hama,Turun,,,,
430,2011-04-01,1,6168,1739651,189167,381.50,1.00,12313.00,STABIL,Penghujan,Ada Bencana,5.882918117,Tidak Ada Hama,Turun,,,,
441,2011-05-01,1,6194,1109067,212180,193.40,1.00,10409.00,STABIL,Kemarau,Tidak Ada Bencana,10.57172517,Ada Hama,Naik,,,,
452,2011-06-01,1,6226,815146,161052,117.60,0.00,13748.00,STABIL,Kemarau,Ada Bencana,10.17954746,Ada Hama,Naik,,,,
463,2011-07-01,1,6562,845196,115853,77.20,1.00,13726.00,STABIL,Kemarau,Tidak Ada Bencana,6.281222412,Tidak Ada Hama,Naik,,,,
474,2011-08-01,1,6752,1185733,60388,3.10,0.00,11882.00,STABIL,Kemarau,Tidak Ada Bencana,3.232161372,Tidak Ada Hama,Naik,,,,
485,2011-09-01,1,6799,990927,65371,102.80,0.00,6858.00,STABIL,Kemarau,Ada Bencana,3.234359089,Tidak Ada Hama,Naik,,,,
496,2011-10-01,1,6820,752148,56844,103.60,1.00,5209.00,STABIL,Penghujan,Ada Bencana,3.519977903,Tidak Ada Hama,Naik,,,,
507,2011-11-01,1,6953,541059,222749,321.40,1.00,4078.00,STABIL,Penghujan,Ada Bencana,8.047956548,Tidak Ada Hama,Naik,,,,
518,2011-12-01,1,7040,282025,382951,259.00,1.00,4860.00,STABIL,Kemarau,Tidak Ada Bencana,16.38494133,Ada Hama,Naik,,,,
529,2012-01-01,1,7242,446814,222048,82.90,0.00,10711.00,STABIL,Penghujan,Ada Bencana,29.72345366,Ada Hama,Naik,,,,
540,2012-02-01,1,7379,388532,105671,303.70,1.00,16896.00,STABIL,Penghujan,Ada Bencana,6.6491881,Tidak Ada Hama,Naik,,,,
551,2012-03-01,1,7194,1522501,102665,155.50,1.00,14811.00,STABIL,Penghujan,Ada Bencana,1.805714047,Tidak Ada Hama,Turun,,,,
562,2012-04-01,1,7030,2617491,226562,290.80,1.00,6915.00,STABIL,Penghujan,Tidak Ada Bencana,3.428988327,Tidak Ada Hama,Turun,,,,
573,2012-05-01,1,6947,1362417,254944,257.10,0.00,7614.00,STABIL,Kemarau,Tidak Ada Bencana,10.49578408,Ada Hama,Turun,,,,
584,2012-06-01,1,6971,648364,135609,60.50,0.00,11091.00,STABIL,Kemarau,Tidak Ada Bencana,10.66575756,Ada Hama,Naik,,,,
595,2012-07-01,1,7027,629920,110371,34.20,0.00,10950.00,STABIL,Kemarau,Tidak Ada Bencana,2.895013286,Tidak Ada Hama,Naik,,,,
606,2012-08-01,1,7113,1390114,68651,0.30,0.00,6559.00,STABIL,Kemarau,Tidak Ada Bencana,2.002008284,Tidak Ada Hama,Naik,,,,
617,2012-09-01,1,7072,1014139,60463,27.00,0.00,5104.00,STABIL,Kemarau,Ada Bencana,4.102235102,Tidak Ada Hama,Turun,,,,
628,2012-10-01,1,7073,539438,81077,125.00,1.00,5563.00,STABIL,Penghujan,Ada Bencana,4.167761459,Tidak Ada Hama,Naik,,,,
639,2012-11-01,1,7109,439044,240507,537.00,1.00,4600.00,STABIL,Penghujan,Ada Bencana,7.506081485,Tidak Ada Hama,Naik,,,,
650,2012-12-01,1,7153,273086,363323,636.90,1.00,5153.00,STABIL,Penghujan,Ada Bencana,17.15429271,Ada Hama,Naik,,,,
661,2013-01-01,1,7272,412454,216940,216.90,1.00,10372.00,STABIL,Penghujan,Ada Bencana,21.72996041,Ada Hama,Naik,,,,
672,2013-02-01,1,7326,553074,112426,249.60,1.00,17618.00,STABIL,Penghujan,Ada Bencana,6.454697784,Tidak Ada Hama,Naik,,,,
683,2013-03-01,1,7227,1640640,112955,304.80,1.00,15524.00,STABIL,Penghujan,Ada Bencana,1.769499867,Tidak Ada Hama,Turun,,,,
694,2013-04-01,1,7175,2478440,225483,285.80,1.00,6429.00,STABIL,Penghujan,Ada Bencana,2.610860146,Tidak Ada Hama,Turun,,,,
705,2013-05-01,1,7078,1345063,247383,170.90,1.00,5664.00,STABIL,Penghujan,Ada Bencana,8.519381638,Tidak Ada Hama,Turun,,,,
716,2013-06-01,1,7203,697059,143133,231.50,1.00,9578.00,STABIL,Penghujan,Ada Bencana,7.459607808,Tidak Ada Hama,Naik,,,,
727,2013-07-01,1,7282,700339,132867,159.10,1.00,8426.00,STABIL,Kemarau,Ada Bencana,3.570557426,Tidak Ada Hama,Naik,,,,
738,2013-08-01,1,7317,1398031,102240,74.30,1.00,8051.00,STABIL,Penghujan,Tidak Ada Bencana,2.289567189,Tidak Ada Hama,Naik,,,,
749,2013-09-01,1,7317,1130131,65581,171.70,0.00,5664.00,STABIL,Kemarau,Ada Bencana,2.625530101,Tidak Ada Hama,Turun,,,,
760,2013-10-01,1,7385,653881,81148,35.80,1.00,3758.00,STABIL,Kemarau,Tidak Ada Bencana,4.868778553,Tidak Ada Hama,Naik,,,,
771,2013-11-01,1,7353,606982,183321,64.10,0.00,6469.00,STABIL,Penghujan,Ada Bencana,4.629303599,Tidak Ada Hama,Turun,,,,
782,2013-12-01,1,7349,467068,364507,325.60,1.00,4733.00,STABIL,Penghujan,Ada Bencana,11.02605938,Ada Hama,Turun,,,,
793,2014-01-01,1,7421,422092,245689,253.90,1.00,7231.00,STABIL,Kemarau,Ada Bencana,15.01330902,Ada Hama,Naik,,,,
804,2014-02-01,1,7515,522284,120827,81.50,1.00,12183.00,STABIL,Penghujan,Ada Bencana,9.694470355,Tidak Ada Hama,Naik,,,,
815,2014-03-01,1,7646,1179889,124884,246.60,1.00,17772.00,STABIL,Penghujan,Ada Bencana,3.374420793,Tidak Ada Hama,Naik,,,,
826,2014-04-01,1,7596,2346036,196627,195.10,1.00,12300.00,STABIL,Penghujan,Ada Bencana,2.900414752,Tidak Ada Hama,Turun,,,,
837,2014-05-01,1,7553,1462410,218754,176.70,1.00,7126.00,STABIL,Penghujan,Ada Bencana,7.086247279,Tidak Ada Hama,Turun,,,,
848,2014-06-01,1,7557,719196,195425,173.00,1.00,8562.10,STABIL,Penghujan,Ada Bencana,7.750552513,Tidak Ada Hama,Naik,,,,
859,2014-07-01,1,7620,743345,129256,164.80,1.00,9679.20,STABIL,Kemarau,Ada Bencana,6.645577667,Tidak Ada Hama,Naik,,,,
870,2014-08-01,1,7627,1170379,105910,119.80,1.00,13067.00,STABIL,Kemarau,Tidak Ada Bencana,4.267807674,Tidak Ada Hama,Naik,,,,
881,2014-09-01,1,7626,1037356,73512,0.60,0.00,9336.00,STABIL,Kemarau,Tidak Ada Bencana,2.776512729,Tidak Ada Hama,Turun,,,,
892,2014-10-01,1,7711,926728,66793,60.80,0.00,5426.00,STABIL,Penghujan,Ada Bencana,3.720523612,Tidak Ada Hama,Naik,,,,
903,2014-11-01,1,7805,612947,176480,246.80,1.00,4809.00,STABIL,Penghujan,Ada Bencana,0,Tidak Ada Hama,Naik,,,,
914,2014-12-01,1,8136,502237,326378,235.50,1.00,0.00,STABIL,Penghujan,Ada Bencana,9.322287518,Tidak Ada Hama,Naik,,,,
925,2015-01-01,1,8427,556230,278742,167.30,1.00,6853.00,STABIL,Penghujan,Ada Bencana,16.11770695,Ada Hama,Naik,,,,
936,2015-02-01,1,8767,505390,119919,179.70,1.00,10765.50,STABIL,Penghujan,Ada Bencana,6.40469175,Tidak Ada Hama,Naik,,,,
947,2015-03-01,1,8999,1335339,100666,264.50,1.00,11303.00,STABIL,Penghujan,Ada Bencana,2.457273468,Tidak Ada Hama,Naik,,,,
958,2015-04-01,1,8527,2469545,194599,231.00,1.00,8020.00,STABIL,Penghujan,Ada Bencana,1.779782021,Tidak Ada Hama,Turun,,,,
969,2015-05-01,1,8375,1608856,247756,208.10,1.00,4961.00,STABIL,Kemarau,Tidak Ada Bencana,5.031312803,Tidak Ada Hama,Turun,,,,
980,2015-06-01,1,8369,692154,152509,50.40,0.00,6033.50,STABIL,Kemarau,Tidak Ada Bencana,7.390777422,Tidak Ada Hama,Turun,,,,
991,2015-07-01,1,8470,581029,94717,0.30,0.00,7440.00,STABIL,Kemarau,Tidak Ada Bencana,3.760039877,Tidak Ada Hama,Naik,,,,
1002,2015-08-01,1,8504,1123195,84967,6.90,0.00,7317.00,STABIL,Kemarau,Ada Bencana,1.801772712,Tidak Ada Hama,Naik,,,,
1013,2015-09-01,1,8670,1068606,69417,43.20,1.00,4464.00,STABIL,Kemarau,Ada Bencana,2.064796176,Tidak Ada Hama,Naik,,,,
1024,2015-10-01,1,8836,657793,41005,34.50,1.00,3149.00,STABIL,Penghujan,Ada Bencana,2.882270342,Tidak Ada Hama,Naik,,,,
1035,2015-11-01,1,8866,408528,87356,419.40,1.00,2730.00,STABIL,Penghujan,Tidak Ada Bencana,3.310697094,Tidak Ada Hama,Naik,,,,
1046,2015-12-01,1,8891,366475,348383,307.40,0.00,2813.00,STABIL,Penghujan,Ada Bencana,6.911851564,Tidak Ada Hama,Naik,,,,
1057,2016-01-01,1,9009,919944,121226,391.50,1.00,4798.00,STABIL,Penghujan,Ada Bencana,28.20875503,Ada Hama,Naik,,,,
1068,2016-02-01,1,9096,567773,101740,194.30,1.00,11567.00,STABIL,Penghujan,Ada Bencana,13.36256239,Ada Hama,Naik,,,,
1079,2016-03-01,1,9142,461190,191464,376.20,1.00,11673.00,STABIL,Penghujan,Ada Bencana,2.317061969,Tidak Ada Hama,Naik,,,,
1090,2016-04-01,1,8935,1436800,245142,523.00,1.00,8072.25,STABIL,Penghujan,Ada Bencana,3.896028905,Tidak Ada Hama,Turun,,,,
1101,2016-05-01,1,8865,575726,152457,317.80,1.00,4723.00,STABIL,Kemarau,Ada Bencana,5.470316493,Tidak Ada Hama,Turun,,,,
1112,2016-06-01,1,8866,1166513,93894,139.30,1.00,5565.50,STABIL,Penghujan,Ada Bencana,3.180754607,Tidak Ada Hama,Naik,,,,
1123,2016-07-01,1,8820,646413,83590,182.30,1.00,6090.00,STABIL,Kemarau,Ada Bencana,2.863646376,Tidak Ada Hama,Turun,,,,
1134,2016-08-01,1,8747,150588,68699,128.70,1.00,7020.00,STABIL,Penghujan,Ada Bencana,3.170074185,Tidak Ada Hama,Turun,,,,
1145,2016-09-01,1,8725,335396,34712,286.20,1.00,4833.00,STABIL,Penghujan,Ada Bencana,5.953522057,Tidak Ada Hama,Turun,,,,
1156,2016-10-01,1,8769,2149952,79631,362.30,1.00,5590.00,STABIL,Penghujan,Ada Bencana,7.261036009,Tidak Ada Hama,Naik,,,,
1167,2016-11-01,1,8752,452081,348189,442.50,1.00,6069.50,STABIL,Kemarau,Ada Bencana,8.971018501,Tidak Ada Hama,Turun,,,,
